week;rank;rise;rise_nb;name;artist;last_week;peak;week_chart
"
                January 12, 2019
                ";47;Rising;+42;Good Girl;Dustin Lynch;89;47;8
"
                January 12, 2019
                ";48;Rising;+33;Beautiful Crazy;Luke Combs;81;48;8
"
                January 12, 2019
                ";49;Rising;+29;Nothing Breaks Like A Heart;Mark Ronson Featuring Miley Cyrus;78;49;5
"
                January 12, 2019
                ";50;Rising;+34;This Feeling;The Chainsmokers Featuring Kelsea Ballerini;84;50;12
"
                January 12, 2019
                ";51;Rising;+24;Consequences;Camila Cabello;75;51;9
"
                January 12, 2019
                ";52;Rising;+35;Girl Like You;Jason Aldean;87;52;6
"
                January 12, 2019
                ";53;Rising;+43;Last Shot;Kip Moore;96;53;7
"
                January 12, 2019
                ";54;Rising;+12;Look Back At It;A Boogie Wit da Hoodie;66;54;4
"
                January 12, 2019
                ";55;Rising;+22;Arms Around You;XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee;77;28;10
"
                January 12, 2019
                ";56;Rising;+20;Armed And Dangerous;Juice WRLD;76;44;8
"
                January 12, 2019
                ";57;Rising;+43;This Is It;Scotty McCreery;100;57;4
"
                January 12, 2019
                ";58;Rising;+16;Calling My Spirit;Kodak Black;74;46;5
"
                January 12, 2019
                ";59;Rising;+26;You;Jacquees;85;59;6
"
                January 12, 2019
                ";60;Rising;+30;No Stylist;French Montana Featuring Drake;90;47;15
"
                January 12, 2019
                ";61;Rising;+4;Startender;A Boogie Wit da Hoodie Featuring Offset & Tyga;65;61;2
"
                January 12, 2019
                ";62;Re-Enter;-;Electricity;Silk City x Dua Lipa;-;62;7
"
                January 12, 2019
                ";63;Rising;+8;Imagine;Ariana Grande;71;24;3
"
                January 12, 2019
                ";64;Rising;+28;Ella Quiere Beber;Anuel AA & Romeo Santos;92;64;9
"
                January 12, 2019
                ";65;Failing;-7;Can't Leave Without It;21 Savage;58;58;2
"
                January 12, 2019
                ";66;Rising;+32;Envy Me;Calboy;98;66;3
"
                January 12, 2019
                ";67;Re-Enter;-;Smile (Living My Best Life);Lil' Duval Featuring Snoop Dogg & Ball Greezy;-;56;18
"
                January 12, 2019
                ";68;Rising;+14;When The Party's Over;Billie Eilish;82;52;11
"
                January 12, 2019
                ";69;Re-Enter;-;Millionaire;Chris Stapleton;-;69;4
"
                January 12, 2019
                ";70;Failing;-2;BAD!;XXXTENTACION;68;16;8
"
                January 12, 2019
                ";71;Rising;+28;Lost In Japan;Shawn Mendes X Zedd;99;48;15
"
                January 12, 2019
                ";72;Re-Enter;-;Pure Cocaine;Lil Baby;-;46;4
"
                January 12, 2019
                ";73;Rising;+18;Lovely;Billie Eilish & Khalid;91;73;10
"
                January 12, 2019
                ";74;Rising;+23;Fine China;Future & Juice WRLD;97;26;11
"
                January 12, 2019
                ";75;New;-;Take It From Me;Jordan Davis;-;75;1
"
                January 12, 2019
                ";76;New;-;What Makes You Country;Luke Bryan;-;76;1
"
                January 12, 2019
                ";77;Re-Enter;-;Yosemite;Travis Scott;-;25;11
"
                January 12, 2019
                ";78;Failing;-5;Monster;21 Savage;73;73;2
"
                January 12, 2019
                ";79;Re-Enter;-;Blue Tacoma;Russell Dickerson;-;52;16
"
                January 12, 2019
                ";80;New;-;Down To The Honkytonk;Jake Owen;-;80;1
"
                January 12, 2019
                ";81;Re-Enter;-;Close Friends;Lil Baby;-;28;12
"
                January 12, 2019
                ";82;New;-;Love Someone;Lukas Graham;-;82;1
"
                January 12, 2019
                ";83;New;-;Love Wins;Carrie Underwood;-;83;1
"
                January 12, 2019
                ";84;Re-Enter;-;KIKA;6ix9ine Featuring Tory Lanez;-;44;5
"
                January 12, 2019
                ";85;Re-Enter;-;Nuketown;Ski Mask The Slump God Featuring Juice WRLD;-;63;4
"
                January 12, 2019
                ";86;New;-;Ruin My Life;Zara Larsson;-;86;1
"
                January 12, 2019
                ";87;New;-;Body;Loud Luxury Featuring Brando;-;87;1
"
                January 12, 2019
                ";88;Re-Enter;-;Dip;Tyga & Nicki Minaj;-;63;7
"
                January 12, 2019
                ";89;Re-Enter;-;Good Form;Nicki Minaj Featuring Lil Wayne;-;60;4
"
                January 12, 2019
                ";90;Rising;+4;Demons And Angels;A Boogie Wit da Hoodie Featuring Juice WRLD;94;90;2
"
                January 12, 2019
                ";91;New;-;Here Tonight;Brett Young;-;91;1
"
                January 12, 2019
                ";92;New;-;Burn Out;Midland;-;92;1
"
                January 12, 2019
                ";93;New;-;Solo de Mi;Bad Bunny;-;93;1
"
                January 12, 2019
                ";94;Re-Enter;-;Lucky You;Eminem Featuring Joyner Lucas;-;6;13
"
                January 12, 2019
                ";95;New;-;Roses;benny blanco & Juice WRLD Featuring Brendon Urie;-;95;1
"
                January 12, 2019
                ";96;Re-Enter;-;whoa (mind in awe);XXXTENTACION;-;37;3
